,Name,Purpose,Score,Tone
50,Harris-Dunn,Expanded intermediate database for benchmark best-of-breed convergence,0.0,Neutral
51,Johnson PLC,Triple-buffered national core for mesh e-business models,0.0,Neutral
52," Evans, David and Long", Virtual reciprocal productivity for mesh transparent e-tailers,0.0,Neutral
53, Davies-Mitchell, Innovative optimizing benchmark for engage magnetic communities,0.0,Neutral
54," Russell, Moody and Mills", Balanced analyzing migration for implement real-time e-services,0.0,Neutral
55, Perez-Fisher, Virtual stable conglomeration for unleash scalable web services,0.0,Neutral
56, Miller-Miles, Managed maximized paradigm for repurpose frictionless architectures,0.0,Neutral
57," Mueller, Barker and Orr", Cross-platform value-added collaboration for empower turn-key paradigms,0.0,Neutral
58," Anderson, Beltran and Charles", Fundamental regional application for implement dynamic convergence,0.0,Neutral
59, Walker Ltd, Automated transitional model for enhance web-enabled models,0.0,Neutral
60," Perez, Townsend and Miller", Intuitive leadingedge solution for exploit virtual metrics,0.0,Neutral
61, Heath PLC, Streamlined clear-thinking data-warehouse for innovate wireless markets,0.0,Neutral
62," Lang, Harrison and Gillespie", Cross-group intermediate system engine for transform cross-media portals,0.0,Neutral
63, Hall LLC, Realigned multi-state access for implement wireless convergence,0.0,Neutral
64, Sparks-Buchanan, Distributed incremental software for productize intuitive applications,0.0,Neutral
65, Hubbard LLC, Up-sized attitude-oriented adapter for orchestrate efficient content,0.0,Neutral
66, Oconnor-Burton, Sharable intermediate projection for utilize clicks-and-mortar methodologies,0.0,Neutral
67," Hoffman, Clark and Calderon", User-friendly stable artificial intelligence for benchmark collaborative infrastructures,0.0,Neutral
68, Blackburn PLC, Realigned fault-tolerant function for aggregate turn-key ROI,0.0,Neutral
69, Cox Inc, Reduced full-range complexity for exploit holistic solutions,0.0,Neutral
70, Robinson-Castillo, Streamlined multi-tasking implementation for evolve interactive mindshare,0.0,Neutral
71," Reynolds, Crawford and Richards", Future-proofed well-modulated framework for scale B2C platforms,0.0,Neutral
72, Wise-Lyons, Persevering 24/7 collaboration for aggregate intuitive systems,0.0,Neutral
73, Zuniga PLC, Distributed 24hour capacity for synergize user-centric networks,0.0,Neutral
74," Phelps, Mccarthy and Marks", Multi-tiered encompassing model for embrace value-added solutions,0.0,Neutral
75, Miles Ltd, Automated encompassing neural-net for aggregate killer convergence,0.0,Neutral
76, Jones-Gonzalez, Cross-group well-modulated architecture for synergize interactive content,0.0,Neutral
77, Drake-Keller, Triple-buffered transitional definition for exploit sticky action-items,0.0,Neutral
78,"Thornton, Espinoza and Adkins",Exclusive client-driven methodology for transform world-class markets,0.128,Positive
79,"Jones, Gonzalez and Martin",Exclusive logistical Local Area Network for revolutionize interactive users,0.128,Positive
80,Boyd Inc,Exclusive static adapter for streamline scalable partnerships,0.128,Positive
81,Garrett-Mcmillan,Exclusive local hierarchy for seize bricks-and-clicks solutions,0.128,Positive
82,"Moreno, Ortiz and Marquez",Cross-group regional utilization for aggregate extensible infrastructures,0.128,Positive
83,Cunningham Ltd,Inverse radical orchestration for disintermediate proactive applications,0.128,Positive
84,Stevens Inc,Cloned even-keeled Graphical User Interface for expedite best-of-breed e-services,0.128,Positive
85,Moss-Butler,Customizable bandwidth-monitored budgetary management for iterate dot-com networks,0.128,Positive
86," Green, Rodriguez and Reyes", Phased asymmetric database for incentivize end-to-end initiatives,0.128,Positive
87, Wagner-Reid, Switchable next generation pricing structure for empower end-to-end metrics,0.128,Positive
88," Moore, Rodriguez and Bass", Operative well-modulated hardware for integrate distributed solutions,0.128,Positive
89, Lewis and Sons, Reverse-engineered national parallelism for repurpose dot-com web-readiness,0.128,Positive
90,Keller Inc,Open-architected demand-driven challenge for productize world-class info-mediaries,0.1531,Positive
91,Watson-Raymond,Enhanced analyzing attitude for incentivize enterprise mindshare,0.1531,Positive
92, Thomas-Holland, User-centric encompassing Local Area Network for enhance out-of-the-box initiatives,0.1531,Positive
93,Carter LLC,Digitized disintermediate superstructure for harness compelling interfaces,0.2263,Positive
94,Rivera-Hansen,Expanded executive alliance for unleash compelling ROI,0.2263,Positive
95,"Rojas, Adams and Bell",Synergistic zero-defect definition for e-enable one-to-one bandwidth,0.2263,Positive
96,Howard-Conway,Exclusive 3rdgeneration ability for aggregate sticky e-services,0.2263,Positive
97, Knapp-Martin, Secured neutral analyzer for leverage extensible vortals,0.2263,Positive
98," Thompson, Stewart and King", Customizable 4thgeneration service-desk for architect collaborative mindshare,0.2263,Positive
99,Potter and Sons,User-centric next generation access for target dynamic infrastructures,0.3818,Positive
100,Carson-Davis,Proactive bottom-line definition for iterate B2C paradigms,0.3818,Positive
101, Weaver and Sons, Profit-focused exuding solution for unleash cross-media bandwidth,0.3818,Positive
102,"Fitzgerald, Guzman and Downs",Organized non-volatile projection for enhance proactive models,0.4215,Positive
103,Jackson-Weaver,Customer-focused reciprocal initiative for brand efficient models,0.4215,Positive
104,Harrison Group,Secured modular firmware for incubate open-source web services,0.4215,Positive
105,Harper-Knapp,Visionary leadingedge circuit for empower seamless methodologies,0.4215,Positive
106," Lucas, Hernandez and Stokes", Extended 5thgeneration portal for orchestrate B2B platforms,0.4215,Positive
107, Thompson LLC, De-engineered content-based secured line for incentivize next-generation solutions,0.4215,Positive
108,Powers PLC,Implemented solution-oriented open architecture for evolve innovative portals,0.4404,Positive
109,Richardson Inc,Mandatory logistical hardware for benchmark dynamic synergies,0.4404,Positive
110,"Baker, Olson and Sharp",Right-sized 5thgeneration flexibility for morph scalable partnerships,0.4404,Positive
111,Hughes Inc,Mandatory foreground data-warehouse for deliver global portals,0.4404,Positive
112, Taylor Inc, Cross-group empowering model for extend frictionless experiences,0.4404,Positive
113," Vance, Ray and Austin", Automated bandwidth-monitored success for reinvent enterprise relationships,0.4404,Positive
114,Orozco-Mclaughlin,Optimized global standardization for leverage end-to-end e-commerce,0.4588,Positive
115,"Buckley, Suarez and Cuevas",Operative multi-tasking data-warehouse for syndicate user-centric vortals,0.4588,Positive
116, Beck Inc, Down-sized multimedia flexibility for re-intermediate 24/365 models,0.4588,Positive
117,"Kelley, Simpson and Morgan",Managed responsive initiative for aggregate B2B mindshare,0.6124,Positive
118,Duncan Inc,De-engineered attitude-oriented intranet for integrate magnetic e-business,0.6124,Positive
119, Nguyen-Jenkins, Distributed intangible concept for engineer revolutionary deliverables,0.6124,Positive
120,Sexton-Sullivan,Decentralized non-volatile secured line for reinvent viral users,0.6597,Positive
121,"Vaughan, Fuentes and Rosario",Sharable web-enabled contingency for repurpose collaborative e-markets,0.6597,Positive
122, Cisneros-Sims, Sharable background infrastructure for unleash innovative synergies,0.6597,Positive
123,Ho-Gray,Object-based dedicated Graphic Interface for disintermediate global content,0.7184,Positive
124,Duarte PLC,Horizontal mission-critical success for integrate magnetic partnerships,0.7184,Positive
125," Pruitt, Wolfe and May", Reduced uniform time-frame for visualize cross-platform paradigms,0.7184,Positive
126,Lopez-Dennis,Ergonomic fault-tolerant customer loyalty for seize transparent action-items,0.7906,Positive
127,Jones-Munoz,Cloned encompassing definition for optimize front-end e-commerce,0.7906,Positive
128, Morgan Inc, Polarized coherent core for whiteboard integrated models,0.7906,Positive
129,Jones-Allen,Streamlined fault-tolerant support for synergize front-end metrics,0.7964,Positive
130,Foley Ltd,Distributed 3rdgeneration encoding for visualize sticky technologies,0.7964,Positive
131," Wright, Bates and Alexander", Ameliorated human-resource neural-net for redefine impactful ROI,0.7964,Positive
132,"Aguirre, Burton and King",Implemented clear-thinking migration for transform rich deliverables,0.802,Positive
133,"Diaz, Harris and Hodges",Persistent disintermediate portal for benchmark rich markets,0.802,Positive
134,Bauer Group,Horizontal grid-enabled approach for unleash rich communities,0.802,Positive
135,Clayton-Bender,Robust bottom-line software for engineer next-generation initiatives,0.802,Positive
136,Hall and Sons,Virtual multimedia concept for benchmark sticky communities,0.802,Positive
137,Perez and Sons,Open-source real-time Internet solution for visualize sticky applications,0.802,Positive
138, Reese and Sons, Business-focused modular infrastructure for revolutionize clicks-and-mortar bandwidth,0.802,Positive
139, Marquez-James, Enhanced upward-trending ability for grow bleeding-edge interfaces,0.802,Positive
140," Vasquez, Johnson and Becker", Intuitive 24/7 circuit for enhance scalable deliverables,0.802,Positive
141,Flowers-Cole,Reduced dynamic artificial intelligence for exploit leading-edge web-readiness,0.8481,Positive
142,Mann PLC,Inverse client-driven concept for empower innovative networks,0.8481,Positive
143, Jones-Nelson, Monitored empowering hierarchy for iterate sticky supply-chains,0.8481,Positive
144,Rodriguez LLC,Visionary zero-defect projection for innovate transparent e-commerce,0.8689,Positive
145,Wilkerson Ltd,Customizable impactful projection for incubate wireless functionalities,0.8689,Positive
146, Dennis-Strickland, Progressive didactic migration for synergize 24/7 communities,0.8689,Positive
147,Ramirez-Hall,Synergistic attitude-oriented support for aggregate visionary users,0.8885,Positive
148,"Ray, Chavez and Miller",Compatible encompassing structure for enhance magnetic action-items,0.8885,Positive
149, Davis-Luna, Optimized 5thgeneration website for engage sticky e-markets,0.8885,Positive
